Gen	t_n15	t_n16	t_n17	t_n18	t_n19	t_n20	t_n21	t_n22	t_n23	t_n24	t_n25	t_n26	t_n27	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
560	1.2152321	0.9309442	0.8158356	0.4481409	0.3625439	0.2755090	0.6968712	0.2745111	0.2008785	0.1776660	0.0984789	0.0901016	0.1920678	0.0313758	0.0250477	0.1691945	0.1502684	0.4312758	0.3998972	-155960.025
570	1.2231951	0.9369548	0.8266775	0.4565795	0.3742752	0.2366664	0.6571240	0.2767866	0.2014807	0.1817372	0.0951190	0.0879117	0.1959582	0.0402396	0.0177910	0.2370587	0.6013774	0.2753353	0.9311929	-155975.061
580	1.2298992	0.9295401	0.7997387	0.4806779	0.3839989	0.2541871	0.6645556	0.2759094	0.1991453	0.1855086	0.0938487	0.0865673	0.1951197	0.0440564	0.0194785	0.1384421	0.6013774	0.3322291	0.3215435	-155969.332
590	1.1962716	0.9160148	0.7891625	0.4406900	0.3856784	0.2491666	0.6457496	0.2835160	0.2041885	0.1928072	0.0937738	0.0840516	0.1944661	0.0344872	0.0194785	0.1504836	0.3511482	0.3384155	0.4396759	-155965.374
600	1.2345683	0.9014107	0.7836489	0.4507272	0.3823810	0.2671021	0.6489939	0.2994369	0.2041885	0.1898877	0.0883100	0.0826391	0.1899193	0.0311024	0.0209098	0.1504836	0.2484689	0.3625774	0.3067705	-155963.105
610	1.2010721	0.8936369	0.7913634	0.5089576	0.3992185	0.2736027	0.5926345	0.2835715	0.1984589	0.1821117	0.0853951	0.0768300	0.1934884	0.0361236	0.0246284	0.1418456	0.4671101	0.4289656	0.3271713	-155958.694
620	1.2016739	0.9030895	0.7993890	0.4455040	0.3770560	0.2725855	0.6181705	0.2962008	0.2026077	0.1874331	0.0863102	0.0793669	0.1974848	0.0325085	0.0205117	0.1418456	0.2844484	0.5571497	0.3771792	-155960.015
630	1.2047214	0.8989319	0.7731959	0.4477949	0.3836652	0.2742223	0.6156410	0.2882672	0.2045594	0.1914756	0.0823070	0.0778470	0.1909406	0.0435126	0.0213997	0.1699482	0.3291604	0.4170948	0.3484094	-155973.385
640	1.1887191	0.8972300	0.7869133	0.4439693	0.3893466	0.2868269	0.6269540	0.3007982	0.2024444	0.1836323	0.0868608	0.0804940	0.1995604	0.0325356	0.0216253	0.1577148	0.3288645	0.2910978	0.3256910	-155964.636
650	1.2321210	0.9030678	0.8015571	0.4678229	0.4021038	0.2761627	0.6196209	0.2824171	0.2082753	0.1910943	0.0865567	0.0804940	0.2034289	0.0377056	0.0190022	0.1643105	0.3288645	0.4190188	0.3277428	-155957.088
660	1.2198859	0.9057333	0.8255433	0.4625001	0.4139075	0.2781986	0.6020303	0.2836928	0.2086648	0.1958208	0.0865567	0.0816584	0.1979685	0.0395771	0.0253301	0.1335117	0.5204448	0.3132337	0.5037777	-155953.755
670	1.2249991	0.9035638	0.8139905	0.4716738	0.4064104	0.2802163	0.5960280	0.2887233	0.2057368	0.1787684	0.0865567	0.0812204	0.1992463	0.0363204	0.0229838	0.1293180	0.3938395	0.3820816	0.4306728	-155957.744
680	1.2371409	0.9108053	0.8233744	0.4716738	0.4253215	0.2599182	0.6134183	0.3168822	0.2004832	0.1771683	0.0851556	0.0775350	0.1933672	0.0363204	0.0312640	0.1221859	0.2768036	0.7249209	0.3527722	-155961.053
690	1.2205218	0.9018127	0.8211777	0.4796252	0.4006491	0.2503743	0.6384973	0.3349718	0.2020666	0.1772620	0.0796181	0.0731220	0.1952339	0.0363204	0.0239466	0.1602965	0.3717772	0.4564207	0.3527722	-155962.752
700	1.2256860	0.9024181	0.8007064	0.5144247	0.3911568	0.2374037	0.6559461	0.3374295	0.2175523	0.1974166	0.0789819	0.0680800	0.2005248	0.0242782	0.0247462	0.1602965	0.3717772	0.4736473	0.5306751	-155960.446
710	1.2390755	0.9142418	0.7956880	0.5516085	0.4100066	0.2440737	0.6482523	0.3292933	0.2088619	0.1927919	0.0727718	0.0619969	0.2024378	0.0251079	0.0233637	0.1514329	0.3092865	0.4330570	0.6232690	-155958.308
720	1.2445634	0.8745584	0.7664401	0.5327544	0.3932116	0.2629018	0.6582599	0.3216526	0.2126025	0.1961313	0.0788094	0.0543383	0.2070154	0.0302189	0.0204203	0.1382246	0.3947337	0.5293142	0.3234223	-155958.977
