Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3
1280	0.1562527	0.1422481	0.1267839	0.0730614	0.0236676	0.1266778	0.0040200	0.0301807	0.0309608	0.0018185	0.0327258	0.1239747
1290	0.2317606	0.1299113	0.0871333	0.0781776	0.0400792	0.0038346	0.0040200	0.0319351	0.0320901	0.0017462	0.0120513	0.1239747
1300	0.1730024	0.1620192	0.1337669	0.0709934	0.0232110	0.0310764	0.0040845	0.0311821	0.0305988	0.0023482	0.0150442	0.1527972
1310	0.9841746	0.1574816	0.0784853	0.0702141	0.0587533	0.1444740	0.0044073	0.0265675	0.0249428	0.0364593	0.0593180	0.0737604
1320	0.4871850	0.1479589	0.1001851	0.0714549	0.0139430	0.0277706	0.0042043	0.0228561	0.0269153	0.0383769	0.0313220	0.1364485
1330	0.1849206	0.1253931	0.1249630	0.0680904	0.0486676	0.0124339	0.0047297	0.0223120	0.0334928	0.0935754	0.0061306	0.1444314
1340	0.2318751	0.1372481	0.0857969	0.0797131	0.0489635	0.0616232	0.0047713	0.0241610	0.0308091	0.0935754	0.0203908	0.1444314
1350	0.1575611	0.1183559	0.1009298	0.0720429	0.0710696	0.0993649	0.0040283	0.0220085	0.0343040	0.0242653	0.0817213	0.2945502
1360	0.9268664	0.1472139	0.1017657	0.0776593	0.0079846	0.0341373	0.0044698	0.0203513	0.0313947	0.0729342	0.1057821	0.1763529
1370	0.7599624	0.1414985	0.0753970	0.0744984	0.0400569	0.0292585	0.0046881	0.0288248	0.0304234	0.1220378	0.2447517	0.1113092
1380	0.1522623	0.1237084	0.0803357	0.0670775	0.0400569	0.0891757	0.0050469	0.0270330	0.0287871	0.1041849	0.1823967	0.1299127
1390	0.5751557	0.1542488	0.1162687	0.0692729	0.0506233	0.1099275	0.0041555	0.0315142	0.0225636	0.2107757	0.0401588	0.2450865
1400	0.8421412	0.1542488	0.0943221	0.0667491	0.0014015	0.0723790	0.0046390	0.0342454	0.0254524	0.1874161	0.0147270	0.1762809
1410	0.8421412	0.1495089	0.1163516	0.0746160	0.0269953	0.1093425	0.0048400	0.0257448	0.0261235	0.1471364	0.0397757	0.0304232
1420	0.2945437	0.1441354	0.1368852	0.0611840	0.0280660	0.1093425	0.0041797	0.0259829	0.0301775	0.0537370	0.0091769	0.1145397
1430	0.7652888	0.1197112	0.0817117	0.0769167	0.0069615	0.1093425	0.0044341	0.0254788	0.0271605	0.0187659	0.0622745	0.2263952
1440	0.5086109	0.1184648	0.0858828	0.0683958	0.0200331	0.0235928	0.0052358	0.0259766	0.0237896	0.0102945	0.0133472	0.0838782
1450	0.5553803	0.1319278	0.1037302	0.0590119	0.0028332	0.1194763	0.0055377	0.0273973	0.0277030	0.0163966	0.0521035	0.1707205
1460	0.4152807	0.1410360	0.1159597	0.0736866	0.0150669	0.1194763	0.0050244	0.0250540	0.0228802	0.0195403	0.0139486	0.0976352
1470	0.6489391	0.1577200	0.1385068	0.0740627	0.0326256	0.0192645	0.0059586	0.0238259	0.0249862	0.0342226	0.0499831	0.0399617
1480	0.5022389	0.1290806	0.1270137	0.0723962	0.0563100	0.1011417	0.0049219	0.0264352	0.0245925	0.1351392	0.0261108	0.0129871
1490	0.5022389	0.1503138	0.0975097	0.0797134	0.0563100	0.1011417	0.0059761	0.0322725	0.0227533	0.0283838	0.0139037	0.0171557
1500	0.8012018	0.1587374	0.1074610	0.0683866	0.0563100	0.0509153	0.0057631	0.0359337	0.0215485	0.0718739	0.0401792	0.0027301
1510	0.8012018	0.1286605	0.1018850	0.0779210	0.0584934	0.0333673	0.0066491	0.0384122	0.0220062	0.0157830	0.0442186	0.0053747
1520	0.6799400	0.1286605	0.0918360	0.0737137	0.0383570	0.0897232	0.0068342	0.0348922	0.0212175	0.0161158	0.0610771	0.0125691
1530	0.9556084	0.1200640	0.1175043	0.0645520	0.0127007	0.0148745	0.0073341	0.0416760	0.0202971	0.0372098	0.0238234	0.0032559
1540	0.3582237	0.1496400	0.0864323	0.0778831	0.0176032	0.0104315	0.0072873	0.0397724	0.0187110	0.0156841	0.0204464	0.0016252
1550	0.9118880	0.1307358	0.0960571	0.0769614	0.0686168	0.1275084	0.0080053	0.0396193	0.0204418	0.0723062	0.0448770	0.0384245
1560	0.9118880	0.1217606	0.0756429	0.0633480	0.0412233	0.0230926	0.0085713	0.0448019	0.0205953	0.0498938	0.0306938	0.0233325
1570	0.9118880	0.1343803	0.0808109	0.0708670	0.0672219	0.0227423	0.0085954	0.0470389	0.0199347	0.0265485	0.0189444	0.0174865
1580	0.1607027	0.1534580	0.1103133	0.0712351	0.0388123	0.1063319	0.0086329	0.0383603	0.0211825	0.0247582	0.0477257	0.0278763
1590	0.2505727	0.1514986	0.1159097	0.0683152	0.0547943	0.0561767	0.0081547	0.0391090	0.0230804	0.0304440	0.0440145	0.0091758
1600	0.1513398	0.1298930	0.0808764	0.0694678	0.0258810	0.0768816	0.0081009	0.0418262	0.0256430	0.0025484	0.0187183	0.0693114
1610	0.4096414	0.1361519	0.1171166	0.0733543	0.0199629	0.0929558	0.0075574	0.0413779	0.0230506	0.0055801	0.0320799	0.0119584
1620	0.2454206	0.1590548	0.1288503	0.0728973	0.0718431	0.0340779	0.0079254	0.0383908	0.0200607	0.0112628	0.0732585	0.0330891
1630	0.1742435	0.1230969	0.0983677	0.0739020	0.0289604	0.1122163	0.0076494	0.0394790	0.0264203	0.0511109	0.1529112	0.0803740
1640	0.5275067	0.1522401	0.1243738	0.0633267	0.0370826	0.0284924	0.0069592	0.0375779	0.0254038	0.0273770	0.2870706	0.0803740
1650	0.5533031	0.1607053	0.0789047	0.0749912	0.0630024	0.0485360	0.0070531	0.0263830	0.0272559	0.0108413	0.0659322	0.0530402
1660	0.1707369	0.1467140	0.1191737	0.0749099	0.0630024	0.0493094	0.0064940	0.0230196	0.0255862	0.0027869	0.0197112	0.0393544
1670	0.7428306	0.1318067	0.0812175	0.0640721	0.0521990	0.1214967	0.0069322	0.0284823	0.0266083	0.0324024	0.0221790	0.1114311
1680	0.6263004	0.1344238	0.0832715	0.0591947	0.0521990	0.1214967	0.0060827	0.0311988	0.0243711	0.0230348	0.0184273	0.0721100
1690	0.8995000	0.1486440	0.1062987	0.0659301	0.0521990	0.1225836	0.0079434	0.0309613	0.0252634	0.0776910	0.0038762	0.0226026
1700	0.1475204	0.1267684	0.1253293	0.0740707	0.0521990	0.1225836	0.0090357	0.0296156	0.0251967	0.0308933	0.0108857	0.0156995
1710	0.8804608	0.1466186	0.0997734	0.0660018	0.0486948	0.0193622	0.0111427	0.0280726	0.0240951	0.0203031	0.0122918	0.0088357
1720	0.2905458	0.1216646	0.1078474	0.0723861	0.0457993	0.0262916	0.0101099	0.0301355	0.0235201	0.0104139	0.0022000	0.0102400
1730	0.3457019	0.1201473	0.0669232	0.0648159	0.0234608	0.0348724	0.0106961	0.0324708	0.0249812	0.0031892	0.0038409	0.0026313
1740	0.5370585	0.1376806	0.1152468	0.0631455	0.0291036	0.0873058	0.0107675	0.0324708	0.0249812	0.0033937	0.0020048	0.0022742
1750	0.9799175	0.1397318	0.1089422	0.0703797	0.0632332	0.0321663	0.0107675	0.0324708	0.0239739	0.0057070	0.0056540	0.0014429
1760	0.9497952	0.1252646	0.0800534	0.0622287	0.0361316	0.0097168	0.0107675	0.0311551	0.0239739	0.0037155	0.0017288	0.0018379
1770	0.9497952	0.1546765	0.0636412	0.0608992	0.0532125	0.0182868	0.0107675	0.0318845	0.0247064	0.0060491	0.0027719	0.0022311
1780	0.8306155	0.1350647	0.1081414	0.0745994	0.0271608	0.0959232	0.0111859	0.0318845	0.0260118	0.0050464	0.0030889	0.0067957
1790	0.2438239	0.1202481	0.1181731	0.0720686	0.0506617	0.0750238	0.0099869	0.0318845	0.0247339	0.0235670	0.0029494	0.0006561
1800	0.7117551	0.1368862	0.0665328	0.0609681	0.0199397	0.0881207	0.0096694	0.0297664	0.0254294	0.0293117	0.0068765	0.0009874
1810	0.3135910	0.1198603	0.0942109	0.0786833	0.0324886	0.0027912	0.0094049	0.0297664	0.0254294	0.0212682	0.0042807	0.0020171
1820	0.8097996	0.1312431	0.1165446	0.0644951	0.0082552	0.0987020	0.0121745	0.0294672	0.0231046	0.0334607	0.0094078	0.0007491
