Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
25600	0.4050660	0.2516733	0.1293373	0.1116450	0.1004049	0.0412021	0.0285066	0.0683330	0.0611461	0.2647871	0.1851514	0.3520864	0.1493994	-638237.361
25800	0.4004162	0.2440401	0.1261173	0.1130693	0.1017185	0.0340864	0.0218362	0.0796339	0.0618799	0.3479520	0.0697342	0.2042039	0.2810652	-638248.157
26000	0.3891453	0.2364518	0.1213614	0.1076336	0.0957095	0.0364357	0.0257960	0.0900482	0.0610547	0.3063185	0.0986462	0.0839349	0.2273205	-638237.645
26200	0.3983201	0.2440550	0.1210513	0.1095375	0.0949321	0.0395280	0.0298717	0.0783924	0.0655261	0.2499478	0.1224432	0.2417792	0.1530197	-638232.992
26400	0.4014867	0.2538970	0.1257469	0.1145265	0.1033954	0.0410304	0.0253843	0.0876292	0.0468881	0.2515897	0.2348624	0.1144023	0.1667454	-638236.004
26600	0.3892972	0.2596044	0.1307775	0.1136560	0.1012067	0.0428427	0.0308127	0.0857551	0.0591214	0.2371737	0.1421103	0.1190386	0.1501496	-638237.797
26800	0.3838423	0.2310909	0.1276462	0.1089867	0.0972683	0.0459292	0.0303017	0.0661110	0.0544288	0.2361990	0.0980558	0.1492707	0.1837059	-638233.688
27000	0.3818808	0.2385976	0.1178406	0.1107729	0.0990509	0.0384754	0.0272127	0.1021989	0.0683488	0.2847372	0.2938689	0.1264761	0.2475565	-638234.373
27200	0.3842340	0.2638885	0.1288565	0.1135220	0.1008833	0.0415827	0.0272416	0.0922043	0.0676467	0.2445256	0.1998034	0.2040810	0.1935765	-638239.577
27400	0.3878490	0.2506287	0.1392170	0.1186183	0.1082327	0.0434666	0.0309899	0.0826654	0.0577193	0.2346257	0.1264390	0.1923041	0.2604528	-638236.334
27600	0.4035949	0.2831447	0.1296532	0.1170294	0.1018219	0.0451738	0.0275803	0.0738894	0.0563130	0.2512152	0.2112204	0.0987669	0.2034101	-638244.352
27800	0.3955810	0.2500799	0.1256885	0.1113997	0.0962795	0.0397864	0.0298890	0.0729697	0.0582720	0.2497810	0.2241975	0.0905797	0.1521790	-638236.288
28000	0.3886492	0.2465089	0.1140349	0.1028021	0.0938113	0.0407272	0.0291314	0.0858489	0.0637324	0.2504810	0.1493918	0.1270047	0.1432393	-638245.076
28200	0.4069052	0.2598535	0.1223381	0.1059834	0.0896599	0.0378378	0.0266548	0.0649931	0.0507187	0.2102761	0.2753502	0.2032361	0.0880907	-638237.033
28400	0.3869634	0.2449713	0.1170350	0.1035975	0.0956733	0.0326654	0.0214555	0.1035388	0.0586924	0.2798227	0.2984637	0.1045263	0.1713705	-638237.973
28600	0.3701799	0.2602257	0.1286205	0.1162621	0.1023153	0.0419022	0.0239218	0.0877882	0.0523022	0.3677155	0.1131513	0.1733659	0.3725562	-638235.337
28800	0.3761688	0.2494587	0.1207367	0.1107703	0.1021723	0.0331718	0.0216977	0.0754230	0.0668225	0.3128144	0.1077320	0.1977610	0.3735134	-638234.118
29000	0.4062885	0.2585042	0.1299600	0.1155574	0.1067494	0.0430687	0.0271941	0.0735132	0.0501366	0.2539005	0.1530656	0.0714413	0.1894567	-638237.086
29200	0.3864007	0.2538328	0.1293824	0.1184835	0.0937668	0.0330016	0.0233727	0.0882405	0.0499752	0.2596114	0.2051624	0.1248014	0.2633348	-638239.999
29400	0.3898336	0.2558576	0.1330713	0.1142905	0.0969569	0.0349598	0.0214479	0.0862194	0.0475752	0.2328440	0.2861406	0.2419592	0.2136372	-638239.005
29600	0.3891825	0.2474989	0.1197094	0.1057661	0.0890533	0.0334786	0.0227925	0.0848511	0.0652243	0.2759839	0.1003762	0.1240576	0.2433771	-638234.248
29800	0.3839707	0.2534019	0.1192874	0.1024370	0.0942585	0.0402590	0.0294629	0.0866429	0.0573469	0.2929673	0.1845620	0.2693729	0.2985205	-638242.391
30000	0.3858016	0.2365572	0.1097810	0.0972039	0.0848786	0.0322668	0.0222756	0.0910774	0.0859372	0.2949231	0.1737332	0.2478334	0.1352949	-638241.859
30200	0.3467826	0.2465139	0.1115863	0.1034495	0.0922276	0.0396818	0.0235158	0.0853649	0.0550756	0.3052457	0.1898797	0.1545088	0.1951967	-638244.502
30400	0.3392981	0.2337312	0.1240371	0.1083257	0.0918089	0.0384206	0.0262176	0.0869000	0.0724608	0.2523718	0.1524645	0.1266510	0.1314084	-638236.166
30600	0.3745285	0.2424862	0.1233163	0.1096251	0.0987989	0.0379586	0.0213957	0.0884021	0.0665475	0.2383301	0.1638653	0.1382155	0.2344092	-638235.638
30800	0.3626854	0.2495665	0.1290894	0.1101289	0.0955501	0.0432423	0.0294772	0.0713301	0.0479022	0.3264326	0.1857660	0.1244519	0.4676924	-638240.965
31000	0.3709674	0.2545424	0.1283459	0.1184789	0.1010700	0.0468367	0.0328818	0.0877734	0.0505582	0.2571184	0.1456008	0.1601708	0.1695099	-638233.957
31200	0.3804381	0.2525560	0.1351354	0.1211954	0.1066625	0.0419395	0.0229018	0.0866953	0.0565947	0.2097466	0.1390654	0.0890100	0.1916409	-638230.581
