Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
680000	0.3917229	0.2550832	0.1367039	0.1235768	0.1124666	0.0439567	0.0312829	0.0746198	0.0585395	0.2560830	0.0959385	0.1105268	0.1423651	-638236.691
681000	0.3967343	0.2511494	0.1346684	0.1260698	0.1174577	0.0400685	0.0277673	0.0867133	0.0633556	0.2745492	0.1190640	0.1330269	0.1462053	-638237.837
682000	0.3952770	0.2523837	0.1340663	0.1220143	0.1094169	0.0406266	0.0260726	0.0921973	0.0540289	0.1802225	0.1762680	0.1197627	0.3451167	-638236.543
683000	0.3958903	0.2369893	0.1460065	0.1302623	0.1186693	0.0470706	0.0276751	0.0602317	0.0531576	0.2536454	0.1603588	0.1029076	0.2548110	-638237.122
684000	0.3997281	0.2676365	0.1630214	0.1516794	0.1363620	0.0477646	0.0324015	0.0756997	0.0353842	0.2328823	0.1732805	0.2379372	0.2317336	-638246.444
685000	0.3908099	0.2472438	0.1693225	0.1564849	0.1384301	0.0458421	0.0315059	0.0781808	0.0468898	0.2273818	0.2932393	0.1233699	0.1642069	-638238.197
686000	0.4004516	0.2501063	0.1758402	0.1537441	0.1286803	0.0511980	0.0350830	0.0660115	0.0431112	0.2377150	0.1220090	0.2091892	0.1885182	-638237.537
687000	0.3733142	0.2618854	0.1658279	0.1473083	0.1355466	0.0462546	0.0352064	0.0722324	0.0492032	0.2392920	0.0627944	0.2514562	0.2459736	-638239.769
688000	0.4210235	0.2513253	0.1438322	0.1281788	0.1141354	0.0492376	0.0360637	0.0637098	0.0574576	0.2245136	0.1762215	0.2688256	0.2563568	-638233.521
689000	0.3830776	0.2508841	0.1604536	0.1364334	0.1231381	0.0481411	0.0341003	0.0986165	0.0887999	0.2290132	0.3268985	0.4722076	0.1922913	-638239.854
690000	0.3879290	0.2514635	0.1558582	0.1355868	0.1220460	0.0404834	0.0294338	0.0843558	0.0713728	0.2200544	0.3167274	0.2531326	0.2114001	-638231.987
691000	0.3958793	0.2430364	0.1435333	0.1306324	0.1189713	0.0539229	0.0376791	0.0704336	0.0408900	0.2388602	0.2290574	0.1509927	0.1338921	-638234.953
692000	0.4018346	0.2523550	0.1632858	0.1504770	0.1371410	0.0572900	0.0339903	0.0661832	0.0609285	0.2121965	0.2810772	0.1851300	0.2981839	-638235.425
693000	0.3778916	0.2494451	0.1512909	0.1331512	0.1253130	0.0448278	0.0310367	0.0687070	0.0599333	0.2492694	0.2248907	0.1565011	0.1852853	-638236.713
694000	0.3983049	0.2366984	0.1544533	0.1368061	0.1202400	0.0481206	0.0340025	0.0642290	0.0451336	0.2253921	0.1354310	0.0984390	0.1017926	-638233.274
695000	0.3886701	0.2519504	0.1504645	0.1374371	0.1229919	0.0364360	0.0229009	0.0736811	0.0402053	0.2878979	0.1133175	0.2590160	0.2716836	-638237.872
696000	0.3537390	0.2523165	0.1350129	0.1247364	0.1087295	0.0472554	0.0317784	0.0820172	0.0451847	0.2115947	0.1224988	0.1623756	0.2619299	-638245.912
697000	0.4067887	0.2448500	0.1379765	0.1265111	0.1150670	0.0465166	0.0273471	0.0868781	0.0554534	0.2265064	0.1019846	0.0539872	0.1416188	-638238.973
698000	0.4043368	0.2545087	0.1457317	0.1324540	0.1182345	0.0576486	0.0454103	0.0736237	0.0792185	0.2720057	0.1824449	0.4166217	0.2270230	-638242.314
699000	0.3992209	0.2623018	0.1573118	0.1475699	0.1279442	0.0500061	0.0405062	0.0960055	0.0475098	0.1852894	0.3353374	0.1335571	0.2012058	-638232.435
700000	0.3653519	0.2428947	0.1417925	0.1249043	0.1140768	0.0398811	0.0262710	0.0812765	0.0675683	0.3003030	0.2426482	0.2094686	0.3696818	-638247.531
701000	0.3878890	0.2580043	0.1521356	0.1276811	0.1126755	0.0416617	0.0291181	0.0827952	0.0580161	0.2904678	0.0951045	0.1496943	0.2864397	-638240.805
